Waterloop;Lambert X/Y;X;Y;Omschrijving;Gemeente;Provincie;Bekken;Afvissingsmethode;Jaar;Datum;Nederlandse naam;Aantal per vangstinspanning;Eenheid
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2022;17/10/2022;kopvoorn;0.95;per 100m
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Fuiken;2022;18/10/2022;kopvoorn;3.00;per fuik
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Fuiken;2023;28/03/2023;kopvoorn;0.50;per fuik
;154455/194805;154455;194805;Zennegat + Oude Dijle, Mechelen;Mechelen;Antwerpen;Dijlebekken;Fuiken;2023;31/10/2023;kopvoorn;0.50;per fuik
Ringgracht aan de sluis van het Zennegat;154497/194813;154497;194813;Ringgracht aan de sluis van het Zennegat;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2020;03/11/2020;kopvoorn;1.00;per 100m
Ringgracht aan de sluis van het Zennegat;154497/194813;154497;194813;Ringgracht aan de sluis van het Zennegat;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2022;17/10/2022;kopvoorn;1.00;per 100m
Ringgracht aan de sluis van het Zennegat;154497/194813;154497;194813;Ringgracht aan de sluis van het Zennegat;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2023;30/10/2023;kopvoorn;3.00;per 100m
;154717/193904;154717;193904;Getijden-gracht in overstromingsgebied het Zennegat;Mechelen;Antwerpen;;Fuiken;2021;04/05/2021;kopvoorn;0.50;per fuik
;154717/193904;154717;193904;Getijden-gracht in overstromingsgebied het Zennegat;Mechelen;Antwerpen;;Fuiken;2022;18/10/2022;kopvoorn;0.50;per fuik
;154717/193904;154717;193904;Getijden-gracht in overstromingsgebied het Zennegat;Mechelen;Antwerpen;;Fuiken;2023;31/10/2023;kopvoorn;0.50;per fuik
Dijle;154866/194577;154866;194577;thv grote vijver Walem;Mechelen;Antwerpen;Dijlebekken;Fuiken;2022;08/09/2022;kopvoorn;0.50;per fuik
Dijle;159441/189786;159441;189786;aan Mechels broek;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2016;26/05/2016;kopvoorn;1.00;per 100m
Dijle;159441/189786;159441;189786;aan Mechels broek;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2022;23/05/2022;kopvoorn;0.40;per 100m
IJse;159599/162127;159599;162127;stroomafwaarts E411, hoeilaart;Overijse;Brabant;Dijlebekken;Elektrisch;2019;23/04/2019;serpeling;31.00;per 100m
IJse;159784/162087;159784;162087;E411 (500m) - Frans Verbeekstraat;Overijse;Brabant;Dijlebekken;Elektrisch;2015;18/02/2015;kopvoorn;39.00;per 100m
IJse;159932/162046;159932;162046;SH12IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2012;05/07/2012;kopvoorn;0.40;per 100m
IJse;159932/162046;159932;162046;SH12IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2012;05/07/2012;serpeling;0.60;per 100m
IJse;159932/162046;159932;162046;SH14IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2014;11/09/2014;kopvoorn;1.40;per 100m
IJse;159933/162048;159933;162048;SH13IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2013;31/07/2013;kopvoorn;4.40;per 100m
IJse;159933/162048;159933;162048;SH15IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2015;18/02/2015;kopvoorn;39.00;per 100m
IJse;159933/162048;159933;162048;SH15IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2015;13/08/2015;kopvoorn;4.80;per 100m
IJse;159933/162048;159933;162048;SH15IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2015;13/08/2015;serpeling;16.20;per 100m
IJse;159934/162047;159934;162047;SH16IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2016;18/02/2016;kopvoorn;7.20;per 100m
IJse;159934/162047;159934;162047;SH16IJse_E411;Overijse;Brabant;Dijlebekken;Elektrisch;2016;18/02/2016;serpeling;16.20;per 100m
Barebeek;161030/188356;161030;188356;/;Mechelen;Antwerpen;Dijlebekken;Elektrisch;2019;17/04/2019;kopvoorn;7.00;per 100m
IJse;161474/162261;161474;162261;Drogenberg, aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2005;09/03/2005;kopvoorn;3.00;per 100m
IJse;161474/162261;161474;162261;Drogenberg, aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2009;12/03/2009;kopvoorn;2.00;per 100m
IJse;161474/162261;161474;162261;Drogenberg, aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2012;04/04/2012;kopvoorn;3.00;per 100m
IJse;161474/162261;161474;162261;Drogenberg, aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2009;12/03/2009;serpeling;24.00;per 100m
IJse;161474/162261;161474;162261;Drogenberg, aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2009;30/11/2009;serpeling;15.00;per 100m
IJse;161474/162261;161474;162261;Drogenberg, aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2012;04/04/2012;serpeling;8.00;per 100m
Dijle;163070/188040;163070;188040;aan oude Dijle;Boortmeerbeek;Brabant;Dijlebekken;Elektrisch;2019;20/06/2019;kopvoorn;0.60;per 100m
Ijsebroeken;163100/163240;163100;163240;langsheen de Huldenbergse dreef, aan de Kouterstraat;Overijse;Brabant;Dijlebekken;Elektrisch;2018;07/09/2018;kopvoorn;6.00;per 100m
IJse;163381/163391;163381;163391;SO monding Nellebeek;Overijse;Brabant;Dijlebekken;Elektrisch;2016;12/09/2016;kopvoorn;2.00;per 100m
IJse;163381/163391;163381;163391;SO monding Nellebeek;Overijse;Brabant;Dijlebekken;Elektrisch;2017;07/09/2017;kopvoorn;4.00;per 100m
Nellebeek;163707/163891;163707;163891;Meeuwenlaan;Overijse;Brabant;Dijlebekken;Elektrisch;2018;07/09/2018;serpeling;16.00;per 100m
IJse;164004/163821;164004;163821;SA monding Nellebeek;Huldenberg;Brabant;Dijlebekken;Elektrisch;2017;07/09/2017;serpeling;2.00;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2005;09/03/2005;kopvoorn;4.00;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2019;19/04/2019;kopvoorn;1.00;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2009;12/03/2009;serpeling;2.00;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2012;04/04/2012;serpeling;1.00;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;30/08/2013;serpeling;8.00;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;13/11/2015;serpeling;2.50;per 100m
IJse;164963/164295;164963;164295;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2019;19/04/2019;serpeling;86.00;per 100m
Netekanaal;165091/203720;165091;203720;Aan de spoorwegbrug;Lier;Antwerpen;Netebekken;Fuiken;2009;14/07/2009;serpeling;20.50;per fuik
Dijle;165258/187664;165258;187664;/;Bonheiden;Antwerpen;Dijlebekken;Elektrisch;2013;24/04/2013;kopvoorn;0.20;per 100m
Dijle;165258/187664;165258;187664;/;Bonheiden;Antwerpen;Dijlebekken;Elektrisch;2019;20/06/2019;kopvoorn;0.80;per 100m
Laan;165596/161231;165596;161231;/;;Brabant;Dijlebekken;Elektrisch;2015;13/11/2015;kopvoorn;30.00;per 100m
Laan;165596/161231;165596;161231;/;;Brabant;Dijlebekken;Elektrisch;2015;13/11/2015;serpeling;15.00;per 100m
Grote Nete;166134/203136;166134;203136;N13 van Lier naar Nijlen, SO de spoorwegbrug;Lier;Antwerpen;Netebekken;Elektrisch;2012;08/05/2012;kopvoorn;0.50;per 100m
IJse;166434/165003;166434;165003;J11735_IJSE_4;Huldenberg;Brabant;Dijlebekken;Elektrisch;2017;30/05/2017;kopvoorn;14.00;per 100m
IJse;166449/165320;166449;165320;J11735_IJSE_6;Huldenberg;Brabant;Dijlebekken;Elektrisch;2017;30/05/2017;kopvoorn;1.00;per 100m
IJse;166476/165130;166476;165130;J11735_IJSE_5;Huldenberg;Brabant;Dijlebekken;Elektrisch;2017;30/05/2017;kopvoorn;25.00;per 100m
IJse;166503/165645;166503;165645;SH14IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2014;08/09/2014;kopvoorn;53.60;per 100m
IJse;166503/165645;166503;165645;SH14IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2014;08/09/2014;serpeling;15.60;per 100m
IJse;166503/165645;166503;165645;SH15IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;19/02/2015;kopvoorn;22.80;per 100m
IJse;166503/165645;166503;165645;SH15IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;12/08/2015;kopvoorn;26.67;per 100m
IJse;166503/165645;166503;165645;SH15IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;19/02/2015;serpeling;4.80;per 100m
IJse;166503/165645;166503;165645;SH15IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;12/08/2015;serpeling;14.00;per 100m
IJse;166504/165645;166504;165645;SH16IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;17/02/2016;kopvoorn;20.00;per 100m
IJse;166504/165645;166504;165645;SH16IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;17/02/2016;serpeling;5.21;per 100m
IJse;166510/165639;166510;165639;SH13IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;30/07/2013;kopvoorn;15.60;per 100m
IJse;166510/165639;166510;165639;SH13IJse_Margij;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;30/07/2013;serpeling;0.40;per 100m
IJse;166515/165558;166515;165558;aan Margrijsbos;Huldenberg;Brabant;Dijlebekken;Elektrisch;2012;04/04/2012;kopvoorn;22.00;per 100m
IJse;166515/165558;166515;165558;aan Margrijsbos;Huldenberg;Brabant;Dijlebekken;Elektrisch;2009;11/03/2009;serpeling;2.00;per 100m
IJse;166515/165558;166515;165558;aan Margrijsbos;Huldenberg;Brabant;Dijlebekken;Elektrisch;2012;04/04/2012;serpeling;1.00;per 100m
IJse;166537/165506;166537;165506;Margijsbos (500m);Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;19/02/2015;kopvoorn;22.80;per 100m
IJse;166537/165506;166537;165506;Margijsbos (500m);Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;19/02/2015;serpeling;4.80;per 100m
Laan;166648/162021;166648;162021;aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2000;24/03/2000;kopvoorn;1.90;per 100m
Laan;166648/162021;166648;162021;aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2001;22/02/2001;kopvoorn;0.95;per 100m
Laan;166648/162021;166648;162021;aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2006;27/04/2006;kopvoorn;8.00;per 100m
Laan;166648/162021;166648;162021;aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2010;22/04/2010;kopvoorn;9.00;per 100m
Laan;166648/162021;166648;162021;aan de molen;Overijse;Brabant;Dijlebekken;Elektrisch;2010;22/04/2010;serpeling;4.00;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2001;10/01/2001;kopvoorn;1.05;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2001;22/02/2001;kopvoorn;3.16;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2009;30/11/2009;kopvoorn;7.00;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2018;07/09/2018;kopvoorn;15.00;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;1999;24/11/1999;serpeling;1.05;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2000;20/01/2000;serpeling;1.05;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2009;14/03/2009;serpeling;16.00;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2009;30/11/2009;serpeling;22.00;per 100m
IJse;166875/166235;166875;166235;aan de molen;Huldenberg;Brabant;Dijlebekken;Elektrisch;2018;07/09/2018;serpeling;5.00;per 100m
Laan;167005/162205;167005;162205;SH12_LaanMolen;Overijse;Brabant;Dijlebekken;Elektrisch;2012;01/08/2012;kopvoorn;0.40;per 100m
Laan;167005/162205;167005;162205;SH12_LaanMolen;Overijse;Brabant;Dijlebekken;Elektrisch;2012;01/08/2012;serpeling;0.80;per 100m
Laan;167005/162205;167005;162205;SH13_LaanMolen;Overijse;Brabant;Dijlebekken;Elektrisch;2013;05/08/2013;kopvoorn;3.33;per 100m
IJse;167266/166508;167266;166508;Loonbeek, 100 m van straat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2018;07/09/2018;kopvoorn;8.00;per 100m
